school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,0.2857142857142857,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,0.0625,0.47368421052631576,0.5789473684210527,0.5789473684210527
GP,F,0.0,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,0.1875,0.631578947368421,0.6842105263157895,0.631578947368421
GP,F,0.0,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0.0,0.7368421052631579,0.7368421052631579,0.7368421052631579
GP,F,0.14285714285714285,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0.0,0.5789473684210527,0.6842105263157895,0.6842105263157895
GP,M,0.14285714285714285,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,0.1875,0.631578947368421,0.631578947368421,0.6842105263157895
GP,M,0.14285714285714285,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0.0,0.6842105263157895,0.631578947368421,0.6842105263157895
GP,F,0.2857142857142857,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,0.0625,0.5263157894736842,0.6842105263157895,0.6842105263157895
GP,M,0.0,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0.0,0.7894736842105263,0.8421052631578947,0.8947368421052632
GP,M,0.0,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0.0,0.631578947368421,0.631578947368421,0.6842105263157895
GP,F,0.0,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,0.0625,0.7368421052631579,0.7368421052631579,0.7368421052631579
GP,F,0.0,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0.0,0.5263157894736842,0.631578947368421,0.6842105263157895
GP,M,0.0,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0.0,0.631578947368421,0.6842105263157895,0.631578947368421
GP,M,0.0,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0.0,0.631578947368421,0.631578947368421,0.6842105263157895
GP,M,0.0,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0.0,0.7368421052631579,0.7368421052631579,0.7894736842105263
GP,F,0.14285714285714285,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,0.1875,0.8947368421052632,0.8947368421052632,0.8947368421052632
GP,F,0.14285714285714285,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,0.3125,0.6842105263157895,0.6842105263157895,0.7368421052631579
GP,F,0.14285714285714285,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,0.0625,0.6842105263157895,0.7368421052631579,0.7368421052631579
GP,M,0.2857142857142857,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,0.0625,0.42105263157894735,0.42105263157894735,0.3684210526315789
GP,M,0.14285714285714285,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,0.1875,0.631578947368421,0.631578947368421,0.631578947368421
GP,M,0.0,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0.0,0.631578947368421,0.6842105263157895,0.7368421052631579
